,SVR_Forecast_Variance_sqrttrained
2024-11-29,0.6853212807954101
2024-12-02,0.09645625746800472
2024-12-03,0.1699161642286944
2024-12-04,0.403486204434599
2024-12-05,0.11947254890642929
2024-12-06,0.15993714476551024
2024-12-09,0.05102164335809457
2024-12-10,0.2062634805820807
2024-12-11,0.1427448699316706
2024-12-12,0.25539765362967093
2024-12-13,0.180652225326085
2024-12-16,0.07729734639521828
2024-12-17,0.05637014659278559
2024-12-18,0.16302132554957266
2024-12-19,0.25755356271696067
2024-12-20,0.6555057523092768
2024-12-23,0.13314868777044558
2024-12-24,0.2151414907842826
2024-12-25,0.23946583162766594
2024-12-26,0.6952630760748701
2024-12-27,0.23127023770505145
2024-12-30,0.17096489594538283
2024-12-31,0.1428228534878417
2025-01-01,0.24396382582170056
2025-01-02,0.19697620714912115
2025-01-03,0.0935792262755906
2025-01-06,0.2106758609542707
2025-01-07,0.3912139136968696
2025-01-08,0.3253971612548887
2025-01-09,1.1988830172150666
2025-01-10,0.6760935603829105
2025-01-13,0.681292996485269
2025-01-14,0.24488160970878242
2025-01-15,0.08110464788138443
2025-01-16,0.17042286192195946
2025-01-17,0.6005712693619877
2025-01-20,0.23707326839053158
2025-01-21,0.24018725177532946
2025-01-22,0.10386464057812511
2025-01-23,0.18384563987344907
2025-01-24,0.1057672604092601
2025-01-27,0.7033153456874927
2025-01-28,0.5478082131139138
2025-01-29,0.8697015780843668
2025-01-30,0.49225838311785974
2025-01-31,0.6745686990538228
2025-02-03,0.0568755738215529
2025-02-04,0.03393705108819588
2025-02-05,0.07917763321214889
2025-02-06,0.01346189027544736
2025-02-07,0.1755554366995452
2025-02-10,0.13659304279998735
2025-02-11,0.6473741689284532
2025-02-12,0.1678019354957333
2025-02-13,0.25801727411376085
2025-02-14,0.28245802053783464
2025-02-17,0.49625249711744596
2025-02-18,0.5444708865118215
2025-02-19,0.2474567621628249
2025-02-20,0.270278882731778
2025-02-21,0.227151805688308
2025-02-24,0.17766941146977647
2025-02-25,0.133509436407129
2025-02-26,0.18454653374468438
2025-02-27,0.19088164790267165
2025-02-28,0.2986692174370241
2025-03-03,0.2842410302108326
2025-03-04,0.11980467914885122
2025-03-05,0.5549323506175734
2025-03-06,0.2295716232394637
2025-03-07,0.2716577736351732
2025-03-10,0.31333422515381604
2025-03-11,0.16975381927514446
2025-03-12,0.19399340325582035
2025-03-13,0.19675262570308302
2025-03-14,0.18234605172910762
2025-03-17,0.19747067275639638
2025-03-18,0.11591212488795394
2025-03-19,0.03839010403229889
2025-03-20,0.1462601566975055
2025-03-21,0.12265603733687583
2025-03-24,0.029820307631965064
2025-03-25,0.2678840697539465
2025-03-26,0.03736420677593766
2025-03-27,0.09691351024902563
2025-03-28,0.14828457757576535
2025-03-31,0.2642446779360182
2025-04-01,0.20361814011697799
2025-04-02,0.05450191935756066
2025-04-03,0.08233715324620955
2025-04-04,0.22285514468436732
2025-04-07,0.5055872078388466
2025-04-08,0.03282716861010055
2025-04-09,0.44713581880332764
2025-04-10,0.07449681743958336
2025-04-11,0.6752282762364339
2025-04-14,0.7222702677940048
2025-04-15,0.5039997804385747
2025-04-16,0.06108113430378027
2025-04-17,0.10330353988418653
2025-04-18,0.5091527274623032
2025-04-21,0.02476356896432063
2025-04-22,0.6275566353648692
2025-04-23,0.011179185318850314
2025-04-24,0.5114901041747455
2025-04-25,0.09096559504701401
2025-04-28,0.3216026180394679
2025-04-29,0.2780181095906401
2025-04-30,0.2136317461008396
2025-05-01,0.37153943837575976
2025-05-02,0.22105822775845013
2025-05-05,0.47077082751020166
2025-05-06,0.3805453871279461
2025-05-07,0.3407906403438079
2025-05-08,0.4931044850027518
2025-05-09,0.5642680106746942
2025-05-12,0.7713285909636874
2025-05-13,1.6135285458836064
2025-05-14,0.3912792218511675
2025-05-15,0.6258228434576196
2025-05-16,0.5377775720852905
2025-05-19,0.35428806652529327
2025-05-20,0.35573826609177056
2025-05-21,0.26578756505023565
2025-05-22,0.6036404417542911
2025-05-23,0.16906428982765276
2025-05-26,0.07681649635311015
2025-05-27,0.02286222784878386
2025-05-28,0.4578272375394801
2025-05-29,0.5695453228021806
2025-05-30,0.4839729484019878
2025-06-02,0.24071870263045342
2025-06-03,0.4453948623565649
2025-06-04,0.2625803899319355
2025-06-05,0.26161569687014796
2025-06-06,0.1633535788011036
2025-06-09,0.14103865156359627
2025-06-10,0.12186841706348583
2025-06-11,0.16462625094515404
2025-06-12,0.10328593853710605
2025-06-13,0.09621334254951248
2025-06-16,0.18378092809439736
2025-06-17,0.3273866784122781
2025-06-18,0.17881607864171986
2025-06-19,0.28411737174634405
2025-06-20,0.16379619539024462
2025-06-23,0.15813985365503097
2025-06-24,0.07355146734265816
2025-06-25,0.20549863161355855
2025-06-26,0.016881721596433332
2025-06-27,0.21711857887644304
2025-06-30,0.19578035856697867
2025-07-01,0.09368962007573674
2025-07-02,0.0894786425973302
2025-07-03,0.18278757795447803
2025-07-04,0.16012731328364443
2025-07-07,0.16815817461559443
2025-07-08,0.13672439013479737
2025-07-09,0.20564149979161392
2025-07-10,0.15525196101943534
2025-07-11,0.1445290447558544
2025-07-14,0.1054749922766607
2025-07-15,0.1286756144929643
2025-07-16,0.0813996006437756
2025-07-17,0.21904004435139238
2025-07-18,0.37926046086175197
2025-07-21,0.17766160419906368
2025-07-22,0.09860564327489467
2025-07-23,0.14631504211335114
2025-07-24,0.21873925802340383
2025-07-25,0.14284733798901242
2025-07-28,0.10837851315813177
2025-07-29,0.19194393309492963
2025-07-30,0.1400502220722194
2025-07-31,0.22791146442415014
2025-08-01,0.4430942191964052
2025-08-04,0.1914228054902959
2025-08-05,0.11080169147492865
2025-08-06,0.16330325124266387
2025-08-07,0.3177969428243222
2025-08-08,0.21948226869334495
2025-08-11,0.10788533060490169
2025-08-12,0.03823274174906875
2025-08-13,0.14840999878777422
2025-08-14,0.18754880687745418
2025-08-15,0.09165169476733508
2025-08-18,0.2190420686562386
2025-08-19,0.05959990962316871
